0 GUN FR DM ACCUR MAG FM RELOADT Filepath RECOIL
1 MP5 13 28 0.035 30 2 1.7 /audio/SMG.wav 8
2 M4A1 12.5 40 0.02 30 2 2.3 /audio/M4A1.wav 25
3 FIVE-SEVEN 12 33 0.015 20 1 1.8 /audio/P250.wav 4
4 INTERVENTION 0.8 200 0.001 5 1 3.0 /audio/Sniper.wav 120
5 G18 20 20 0.05 20 2 2.4 /audio/P250.wav 8
6 DesertEagle 10 60 0.008 8 1 3.6 /audio/Sniper.wav 60
7 USP.45 8 38 0.02 12 1 2.7 /audio/M4A1.wav 25
8 M249 15 35 0.09 200 2 8.9 /audio/M4A1.wav 60
9 MINIGUN 60 10 0.001 799 2 10 /audio/SMG.wav 24
10 870MCS 0.8 8.5 0.12 12 12 6 /audio/Sniper.wav 140
11 P250 5 35 0.035 13 1 1.8 /audio/P250.wav 36
12 PROTOTYPE 2 100 0.000005 10000 200 0.1 /audio/Sniper.wav 1000
13 MAC-10 40 15 0.03 30 2 2.7 /audio/P250.wav 25
