0 GUN FR DM ACCUR MAG FM RELOADT Filepath
1 MP5 16 28 0.035 30 2 2.1 /audio/SMG.wav
2 M4A1 12 40 0.025 30 2 2.6 /audio/M4A1.wav
3 P250 4 29 0.015 13 1 1.8 /audio/P250.wav
4 B.50 0.5 150 0.001 5 1 4.6 /audio/Sniper.wav
5 G18 30 20 0.05 20 2 2.4 /audio/P250.wav
6 DesertEagle 10 60 0.08 8 1 3.6 /audio/Sniper.wav
7 USP.45 8 38 0.02 12 1 2.7 /audio/M4A1.wav
8 M249 15 35 0.09 200 2 8.9 /audio/M4A1.wav
9 MINIGUN 60 50 0.001 799 2 24.9 /audio/SMG.wav
10 870MCS 0.8 36 0.05 12 12 6 /audio/Sniper.wav
